Authors,Title,Source
"X Wang, Q Cao, Q Sun",An Improved Approach based on Balanced Keyword Weight to Traceability Recovery,IOP Conference Series: Materials Science and Engineering
"ID Rubasinghe, DA Meedeniya, I Perera",Software artefact traceability analyser: a case-study on POS system,International Conference on Communications and Broadband Networking
"Y Liu, J Lin, J Cleland-Huang",Traceability support for multi-lingual software projects,International Conference on Mining Software Repositories (MSR)
"A Velasco, JH Aponte Melo",Recovering Fine Grained Traceability Links Between Software Mandatory Constraints and Source Code,International Conference on Applied Informatics (ICAI)
"OSD Omer, MME Mahmoud",Requirements and Design Consistency: A Bi-directional Traceability and Natural Language Processing Assisted Approach,European Journal of Engineering and Technology Research
"N Ali, Z Sharafi, YG Guéhéneuc, G Antoniol",An empirical study on the importance of source code entities for requirements traceability,Empirical Software Engineering
"A Di Thommazo, R Rovina, TR de Oliveira, G Olivatto…",Using Artificial Intelligence Techniques to Enhance Traceability Links.,International Conference on Enterprise Information Systems (ICEIS)
"EE Bella, S Creff, MP Gervais…",ATLaS: A Framework for Traceability Links Recovery Combining Information Retrieval and Semi-supervised Techniques,International Enterprise Distributed Object Computing Conference (EDOC)
"J Lin, Y Liu, Q Zeng, M Jiang…",Traceability transformed: Generating more accurate links with pre-trained bert models,International Conference on Software Engineering (ICSE)
"A Mahmoud, G Bradshaw",Estimating semantic relatedness in source code,ACM Transactions on Software Engineering and Methodology
"A Panichella, A De Lucia…",Adaptive user feedback for ir-based traceability recovery,International Symposium on Software and Systems Traceability (SST)
"V Csuvik, A Kicsi, L Vidács",Evaluation of textual similarity techniques in code level traceability,"
International Conference on Computational Science and Its Applications (ICCSA)"
"J Keim, A Koziolek",Towards consistency checking between software architecture and informal documentation,International Conference on Software Architecture (ICSA)
"Z Pauzi, A Capiluppi",Text Similarity Between Concepts Extracted from Source Code and Documentation,International Conference on Intelligent Data Engineering and Automated Learning (IDEAL)
"A Qusef, G Bavota, R Oliveto, A De Lucia…",Recovering test-to-code traceability using slicing and textual analysis,Journal of Systems and Software
"I Alazzam, IM Alsmadi, M Akour",Test Cases Selection Based on Source Code Features Extraction,International Journal of Software Engineering and its Applications
"V Csuvik, D Horváth, F Horváth…",Utilizing Source Code Embeddings to Identify Correct Patches,International Workshop on Intelligent Bug Fixing (IBF)
